compound	target	target_chembl_id	assay_type	standard_type	document_year	pchembl	tier
6-gingerol	Cytochrome P450 2C19	CHEMBL3622	A	IC50	2017	4.96	weak
6-gingerol	Cytochrome P450 2C9	CHEMBL3397	A	IC50	2017	4.92	weak
6-gingerol	Cytochrome P450 1A2	CHEMBL3356	A	IC50	2017	4.72	weak
6-gingerol	Cytochrome P450 3A4	CHEMBL340	A	IC50	2017	4.66	weak
6-gingerol	Cytochrome P450 2C8	CHEMBL3721	A	IC50	2017	4.66	weak
6-gingerol	Cytochrome P450 2B6	CHEMBL4729	A	IC50	2017	4.39	weak
6-shogaol	Transient receptor potential cation channel subfamily V member 1	CHEMBL4794	F	IC50	2012	6.54	strong
6-shogaol	Cytochrome P450 1A2	CHEMBL3356	A	IC50	2017	5.6	strong
6-shogaol	Cytochrome P450 2C8	CHEMBL3721	A	IC50	2017	5.54	strong
6-shogaol	Cytochrome P450 2C9	CHEMBL3397	A	IC50	2017	5.48	strong
6-shogaol	Cytochrome P450 3A4	CHEMBL340	A	IC50	2017	5.4	strong
6-shogaol	Cytochrome P450 2B6	CHEMBL4729	A	IC50	2017	5.24	strong
6-shogaol	Polyunsaturated fatty acid 5-lipoxygenase	CHEMBL215	B	IC50	2008	5.13	strong
6-shogaol	Leukotriene A-4 hydrolase	CHEMBL4618	B	IC50	2017	4.9	weak
6-shogaol	5-hydroxytryptamine receptor 1A	CHEMBL214	B	Ki	2010	4.74	weak
6-shogaol	Cytochrome P450 2C19	CHEMBL3622	A	IC50	2017	4.73	weak
6-shogaol	Cytochrome P450 2E1	CHEMBL5281	A	IC50	2017	4.12	weak
6-shogaol	Cytochrome P450 2A6	CHEMBL5282	A	IC50	2017	4.08	weak
6-shogaol	Cytochrome P450 2D6	CHEMBL289	A	IC50	2017	4.06	weak
6-shogaol	HepG2	CHEMBL395	F	IC50	2019	4.06	weak
alisol A	Bile acid receptor	CHEMBL2047	B	EC50	2019	4.99	weak
alisol A	Cocaine esterase	CHEMBL3180	B	IC50	2015	4.0	weak
alisol B	Bile acid receptor	CHEMBL2047	B	EC50	2019	5.06	strong
atractylenolide III	Sterol O-acyltransferase 1	CHEMBL2782	B	IC50	2020	4.26	weak
baicalein	Cytochrome P450 1B1	CHEMBL4878	A	Ki	2011	6.58	strong
baicalein	Polyunsaturated fatty acid lipoxygenase ALOX15	CHEMBL2903	B	Ki	2011	6.22	strong
baicalein	Polyunsaturated fatty acid lipoxygenase ALOX12	CHEMBL3687	B	IC50	2007	6.07	strong
baicalein	Protein deacetylase HDAC6	CHEMBL1865	B	IC50	2021	5.92	strong
baicalein	Cytochrome P450 1A1	CHEMBL2231	A	Ki	2011	5.91	strong
baicalein	Xanthine dehydrogenase/oxidase	CHEMBL1929	B	IC50	1998	5.55	strong
baicalein	Lysine-specific demethylase 4E	CHEMBL1293226	B	IC50	2012	5.52	strong
baicalein	Tyrosine-protein kinase Yes	CHEMBL2073	B	IC50	2019	5.48	strong
baicalein	Trypsin	CHEMBL2095204	B	IC50	1997	5.43	strong
