formula_a	formula_b	development_shared_pmids	heldout_shared_pmids	cross_window_shared_pmids
四君子汤	六君子汤	0	0	0
四君子汤	四物汤	1	0	0
四君子汤	八珍汤	1	0	0
四君子汤	六味地黄丸	0	0	0
四君子汤	逍遥散	0	0	0
四君子汤	补中益气汤	0	0	0
四君子汤	桂枝汤	0	0	0
四君子汤	麻黄汤	1	0	0
四君子汤	小柴胡汤	0	0	0
四君子汤	理中丸	0	0	0
四君子汤	四逆汤	0	0	0
四君子汤	二陈汤	0	0	0
四君子汤	黄连解毒汤	0	0	0
六君子汤	四物汤	0	0	0
六君子汤	八珍汤	0	0	0
六君子汤	六味地黄丸	0	0	0
六君子汤	逍遥散	0	0	0
六君子汤	补中益气汤	0	0	0
六君子汤	桂枝汤	0	0	0
六君子汤	麻黄汤	0	0	0
六君子汤	小柴胡汤	1	0	0
六君子汤	理中丸	0	0	0
六君子汤	四逆汤	0	0	0
六君子汤	二陈汤	0	0	0
六君子汤	黄连解毒汤	0	0	0
四物汤	八珍汤	1	0	0
四物汤	六味地黄丸	0	0	0
四物汤	逍遥散	0	0	0
四物汤	补中益气汤	0	0	0
四物汤	桂枝汤	0	0	0
四物汤	麻黄汤	0	0	0
四物汤	小柴胡汤	0	0	0
四物汤	理中丸	0	0	0
四物汤	四逆汤	0	0	0
四物汤	二陈汤	0	1	0
四物汤	黄连解毒汤	0	0	0
八珍汤	六味地黄丸	0	0	0
八珍汤	逍遥散	0	0	0
八珍汤	补中益气汤	0	0	0
八珍汤	桂枝汤	0	0	0
八珍汤	麻黄汤	0	0	0
八珍汤	小柴胡汤	0	0	0
八珍汤	理中丸	0	0	0
八珍汤	四逆汤	0	0	0
八珍汤	二陈汤	0	0	0
八珍汤	黄连解毒汤	0	0	0
六味地黄丸	逍遥散	0	0	0
六味地黄丸	补中益气汤	0	0	0
六味地黄丸	桂枝汤	0	0	0
六味地黄丸	麻黄汤	0	0	0
六味地黄丸	小柴胡汤	0	0	0
六味地黄丸	理中丸	0	0	0
六味地黄丸	四逆汤	0	0	0
六味地黄丸	二陈汤	0	0	0
六味地黄丸	黄连解毒汤	0	0	0
逍遥散	补中益气汤	0	0	0
逍遥散	桂枝汤	0	0	0
逍遥散	麻黄汤	0	0	0
逍遥散	小柴胡汤	0	0	0
逍遥散	理中丸	0	0	0
逍遥散	四逆汤	0	0	0
逍遥散	二陈汤	0	0	0
逍遥散	黄连解毒汤	0	0	0
补中益气汤	桂枝汤	0	0	0
补中益气汤	麻黄汤	0	0	0
补中益气汤	小柴胡汤	0	0	0
补中益气汤	理中丸	0	0	0
补中益气汤	四逆汤	0	0	0
补中益气汤	二陈汤	0	0	0
补中益气汤	黄连解毒汤	0	0	0
桂枝汤	麻黄汤	1	0	0
桂枝汤	小柴胡汤	1	0	0
桂枝汤	理中丸	0	0	0
桂枝汤	四逆汤	0	0	0
桂枝汤	二陈汤	0	0	0
桂枝汤	黄连解毒汤	0	0	0
麻黄汤	小柴胡汤	0	0	0
麻黄汤	理中丸	0	0	0
麻黄汤	四逆汤	0	0	0
麻黄汤	二陈汤	0	0	0
麻黄汤	黄连解毒汤	0	0	0
小柴胡汤	理中丸	0	0	0
小柴胡汤	四逆汤	0	0	0
小柴胡汤	二陈汤	0	0	0
小柴胡汤	黄连解毒汤	0	0	0
理中丸	四逆汤	0	0	0
理中丸	二陈汤	0	0	0
理中丸	黄连解毒汤	0	0	0
四逆汤	二陈汤	0	0	0
四逆汤	黄连解毒汤	0	0	0
二陈汤	黄连解毒汤	0	0	0
