formula	comparison	target	gated_rank	comparator_rank	signed_displacement	absolute_displacement	shared_top10
四君子汤	evidence_gated_vs_ungated_union	AKR1B1	13	13	0	0	False
四君子汤	evidence_gated_vs_ungated_union	AKT1	32	31	-1	1	False
四君子汤	evidence_gated_vs_ungated_union	APP	22	26	4	4	False
四君子汤	evidence_gated_vs_ungated_union	BACE1	24	28	4	4	False
四君子汤	evidence_gated_vs_ungated_union	BAX	33	33	0	0	False
四君子汤	evidence_gated_vs_ungated_union	CASP3	31	25	-6	6	False
四君子汤	evidence_gated_vs_ungated_union	CCK	34	34	0	0	False
四君子汤	evidence_gated_vs_ungated_union	CD4	35	35	0	0	False
四君子汤	evidence_gated_vs_ungated_union	CHRNA7	21	24	3	3	False
四君子汤	evidence_gated_vs_ungated_union	CRP	36	36	0	0	False
四君子汤	evidence_gated_vs_ungated_union	CYP19A1	2	8	6	6	True
四君子汤	evidence_gated_vs_ungated_union	CYP1B1	18	19	1	1	False
四君子汤	evidence_gated_vs_ungated_union	EGFR	29	21	-8	8	False
四君子汤	evidence_gated_vs_ungated_union	EPO	37	37	0	0	False
四君子汤	evidence_gated_vs_ungated_union	ESR1	16	17	1	1	False
四君子汤	evidence_gated_vs_ungated_union	ESR2	11	11	0	0	False
四君子汤	evidence_gated_vs_ungated_union	F2	38	38	0	0	False
四君子汤	evidence_gated_vs_ungated_union	GATA3	39	39	0	0	False
四君子汤	evidence_gated_vs_ungated_union	GSK3B	40	40	0	0	False
四君子汤	evidence_gated_vs_ungated_union	HDAC6	12	12	0	0	False
四君子汤	evidence_gated_vs_ungated_union	HMGB1	27	32	5	5	False
四君子汤	evidence_gated_vs_ungated_union	HSD11B1	1	1	0	0	True
四君子汤	evidence_gated_vs_ungated_union	HSD11B2	4	2	-2	2	True
四君子汤	evidence_gated_vs_ungated_union	HSD17B1	17	18	1	1	False
四君子汤	evidence_gated_vs_ungated_union	HSD17B2	14	14	0	0	False
四君子汤	evidence_gated_vs_ungated_union	HSPB1	41	41	0	0	False
四君子汤	evidence_gated_vs_ungated_union	IGFBP3	42	42	0	0	False
四君子汤	evidence_gated_vs_ungated_union	IL10RA	43	43	0	0	False
四君子汤	evidence_gated_vs_ungated_union	IL2	20	23	3	3	False
四君子汤	evidence_gated_vs_ungated_union	JAK1	44	44	0	0	False
四君子汤	evidence_gated_vs_ungated_union	JUN	45	45	0	0	False
四君子汤	evidence_gated_vs_ungated_union	KLF4	46	46	0	0	False
四君子汤	evidence_gated_vs_ungated_union	LOX	47	47	0	0	False
四君子汤	evidence_gated_vs_ungated_union	LRP1	48	48	0	0	False
四君子汤	evidence_gated_vs_ungated_union	MAOA	23	27	4	4	False
四君子汤	evidence_gated_vs_ungated_union	MAOB	3	9	6	6	True
四君子汤	evidence_gated_vs_ungated_union	MAPK3	49	49	0	0	False
四君子汤	evidence_gated_vs_ungated_union	MMP1	9	7	-2	2	True
四君子汤	evidence_gated_vs_ungated_union	MMP13	8	6	-2	2	True
四君子汤	evidence_gated_vs_ungated_union	MMP2	6	3	-3	3	True
四君子汤	evidence_gated_vs_ungated_union	MMP3	10	10	0	0	True
四君子汤	evidence_gated_vs_ungated_union	MMP7	5	4	-1	1	True
四君子汤	evidence_gated_vs_ungated_union	MMP9	7	5	-2	2	True
四君子汤	evidence_gated_vs_ungated_union	NLRP3	15	16	1	1	False
四君子汤	evidence_gated_vs_ungated_union	P4HB	25	29	4	4	False
四君子汤	evidence_gated_vs_ungated_union	PCNA	50	50	0	0	False
四君子汤	evidence_gated_vs_ungated_union	PPARG	51	51	0	0	False
四君子汤	evidence_gated_vs_ungated_union	PRL	52	52	0	0	False
四君子汤	evidence_gated_vs_ungated_union	PRLR	53	53	0	0	False
四君子汤	evidence_gated_vs_ungated_union	PSMB5	19	20	1	1	False
四君子汤	evidence_gated_vs_ungated_union	PTGS2	54	54	0	0	False
四君子汤	evidence_gated_vs_ungated_union	RTCA	55	55	0	0	False
四君子汤	evidence_gated_vs_ungated_union	SLC12A3	56	56	0	0	False
四君子汤	evidence_gated_vs_ungated_union	SMAD3	57	57	0	0	False
四君子汤	evidence_gated_vs_ungated_union	SOCS1	58	58	0	0	False
