formula	ablation	fixed_candidate_universe	ranked_candidates	top10_jaccard_vs_primary	top20_jaccard_vs_primary	interpretation
四君子汤	primary	70	70	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
四君子汤	without_literature	70	70	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
四君子汤	without_measured	70	70	0.0	0.0	ranking sensitivity / evidence-source contribution; not predictive performance
四君子汤	without_measured_and_literature	70	70	0.0	0.176471	ranking sensitivity / evidence-source contribution; not predictive performance
四君子汤	literature_only	70	70	0.0	0.0	ranking sensitivity / evidence-source contribution; not predictive performance
四君子汤	measured_only	70	70	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
六君子汤	primary	52	52	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
六君子汤	without_literature	52	52	0.818182	0.904762	ranking sensitivity / evidence-source contribution; not predictive performance
六君子汤	without_measured	52	52	0.052632	0.025641	ranking sensitivity / evidence-source contribution; not predictive performance
六君子汤	without_measured_and_literature	52	52	0.111111	0.176471	ranking sensitivity / evidence-source contribution; not predictive performance
六君子汤	literature_only	52	52	0.052632	0.025641	ranking sensitivity / evidence-source contribution; not predictive performance
六君子汤	measured_only	52	52	0.818182	0.904762	ranking sensitivity / evidence-source contribution; not predictive performance
四物汤	primary	65	65	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
四物汤	without_literature	65	65	1.0	0.6	ranking sensitivity / evidence-source contribution; not predictive performance
四物汤	without_measured	65	65	0.0	0.176471	ranking sensitivity / evidence-source contribution; not predictive performance
四物汤	without_measured_and_literature	65	65	0.111111	0.481481	ranking sensitivity / evidence-source contribution; not predictive performance
四物汤	literature_only	65	65	0.0	0.176471	ranking sensitivity / evidence-source contribution; not predictive performance
四物汤	measured_only	65	65	1.0	0.6	ranking sensitivity / evidence-source contribution; not predictive performance
八珍汤	primary	45	45	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
八珍汤	without_literature	45	45	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
八珍汤	without_measured	45	45	0.0	0.111111	ranking sensitivity / evidence-source contribution; not predictive performance
八珍汤	without_measured_and_literature	45	45	0.0	0.142857	ranking sensitivity / evidence-source contribution; not predictive performance
八珍汤	literature_only	45	45	0.0	0.111111	ranking sensitivity / evidence-source contribution; not predictive performance
八珍汤	measured_only	45	45	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
六味地黄丸	primary	47	47	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
六味地黄丸	without_literature	47	47	0.818182	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
六味地黄丸	without_measured	47	47	0.666667	0.818182	ranking sensitivity / evidence-source contribution; not predictive performance
六味地黄丸	without_measured_and_literature	47	47	0.538462	0.818182	ranking sensitivity / evidence-source contribution; not predictive performance
六味地黄丸	literature_only	47	47	0.666667	0.818182	ranking sensitivity / evidence-source contribution; not predictive performance
六味地黄丸	measured_only	47	47	0.818182	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
逍遥散	primary	98	98	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
逍遥散	without_literature	98	98	0.666667	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
逍遥散	without_measured	98	98	0.111111	0.052632	ranking sensitivity / evidence-source contribution; not predictive performance
逍遥散	without_measured_and_literature	98	98	0.052632	0.081081	ranking sensitivity / evidence-source contribution; not predictive performance
逍遥散	literature_only	98	98	0.111111	0.052632	ranking sensitivity / evidence-source contribution; not predictive performance
逍遥散	measured_only	98	98	0.666667	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
补中益气汤	primary	53	53	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
补中益气汤	without_literature	53	53	0.818182	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
补中益气汤	without_measured	53	53	0.111111	0.081081	ranking sensitivity / evidence-source contribution; not predictive performance
