formula	pmid	canonical_date	canonical_year	naive_year	journal_issue_date	canonical_vs_naive_year_disagree	canonical_vs_issue_year_disagree	boundary_crossing_naive_vs_canonical	date_status
二陈汤	40446578	2025-05-20	2025	2025	2025-07-25	False	False	False	estimable
二陈汤	39954622	2025-02-09	2025	2025	2025-04	False	False	False	estimable
二陈汤	40615099	2025-07-02	2025	2025	2025-09-25	False	False	False	estimable
二陈汤	40617365	2025-07-04	2025	2025	2025-08-29	False	False	False	estimable
二陈汤	41304952	2025-11-11	2025	2025	2025-11-11	False	False	False	estimable
二陈汤	35844447	2022-07-06	2022	2022	2022	False	False	False	estimable
二陈汤	40772014	2025-08-05	2025	2025	2025-08	False	False	False	estimable
二陈汤	37838297	2023-10-13	2023	2023	2024-01-30	False	True	False	estimable
二陈汤	40617360	2025-07-03	2025	2025	2025-08-29	False	False	False	estimable
二陈汤	37087794	2023-04-06	2023	2023	2023-07	False	False	False	estimable
二陈汤	37078067	2023-04-10	2023	2023	2023	False	False	False	estimable
二陈汤	26504476	2015-10-04	2015	2015	2015	False	False	False	estimable
二陈汤	41116265	2025-10-15	2025	2025	2025-10-15	False	False	False	estimable
二陈汤	37712264	2023-08-20	2023	2023	2023-08-20	False	False	False	estimable
二陈汤	38845538	2024	2024	2024	2024	False	False	False	estimable
二陈汤	38621978	2024-03	2024	2024	2024-03	False	False	False	estimable
二陈汤	39151493	2024-08-16	2024	2024	2024-08-16	False	False	False	estimable
二陈汤	32007633	2020-01-31	2020	2020	2020-06-28	False	False	False	estimable
二陈汤	37037084	2023-03-30	2023	2023	2023-06	False	False	False	estimable
二陈汤	37986321	2023-11-17	2023	2023	2023-11-17	False	False	False	estimable
二陈汤	37336336	2023-06-17	2023	2023	2023-12-05	False	False	False	estimable
二陈汤	33653242	2022	2022	2022	2022	False	False	False	estimable
二陈汤	37274103	2023-05-19	2023	2023	2023	False	False	False	estimable
二陈汤	38621880	2024-02	2024	2024	2024-02	False	False	False	estimable
二陈汤	35392646	2022-03-29	2022	2022	2022	False	False	False	estimable
二陈汤	40348241	2025-05-08	2025	2025	2025-06	False	False	False	estimable
二陈汤	36313338	2022-10-13	2022	2022	2022	False	False	False	estimable
二陈汤	34366839	2021-07-22	2021	2021	2021	False	False	False	estimable
二陈汤	28630632	2017-05-29	2017	2017	2017	False	False	False	estimable
二陈汤	32256662	2020-03-10	2020	2020	2020	False	False	False	estimable
二陈汤	34536264	2021-09-18	2021	2021	2021-11	False	False	False	estimable
二陈汤	31088684	2019-04-24	2019	2019	2020-08	False	True	False	estimable
二陈汤	32382281	2020-04-22	2020	2020	2020	False	False	False	estimable
二陈汤	30402126	2018-10-08	2018	2018	2018	False	False	False	estimable
二陈汤	35795265	2022-06-25	2022	2022	2022	False	False	False	estimable
八珍汤	37799727	2023-09-20	2023	2023	2023	False	False	False	estimable
八珍汤	38163559	2023-12-30	2023	2023	2024-04-06	False	True	False	estimable
八珍汤	25222049	2014-09-15	2014	2014	2014	False	False	False	estimable
八珍汤	39821540	2025-01	2025	2025	2025-01	False	False	False	estimable
八珍汤	37478218	2023-07-21	2023	2023	2023-07-21	False	False	False	estimable
八珍汤	28459513	2016-08	2016	2016	2016-08	False	False	False	estimable
八珍汤	36247864	2022-09-28	2022	2022	2022	False	False	False	estimable
八珍汤	30814073	2019-01	2019	2019	2019-01	False	False	False	estimable
八珍汤	17370502	2007-02	2007	2007	2007-02	False	False	False	estimable
六君子汤	41344517	2025-12-02	2025	2025	2026-03-01	False	True	False	estimable
六君子汤	40466880	2025-06-02	2025	2025	2025-07-24	False	False	False	estimable
六君子汤	38882295	2024-05-22	2024	2024	2024-06-15	False	False	False	estimable
六君子汤	38403322	2024-01	2024	2024	2024-01	False	False	False	estimable
六君子汤	41069602	2025-09-24	2025	2025	2025	False	False	False	estimable
六君子汤	39701680	2024-09	2024	2024	2024-09	False	False	False	estimable
六君子汤	27660011	2016-09-19	2016	2016	2016-12-04	False	False	False	estimable
六君子汤	35294130	2022-02	2022	2022	2022-02	False	False	False	estimable
六君子汤	28920352	2016-08	2016	2016	2016-08	False	False	False	estimable
六君子汤	40342036	2025-05-09	2025	2025	2025-11	False	False	False	estimable
六君子汤	38415453	2024	2024	2024	2024	False	False	False	estimable
六君子汤	40258725	2025-04-18	2025	2025	2025-04-18	False	False	False	estimable
六君子汤	41508247	2025-10	2025	2025	2025-10	False	False	False	estimable
六君子汤	38096029	2023-12-10	2023	2023	2023-12-10	False	False	False	estimable
六君子汤	36701994	2023-01-13	2023	2023	2023-03	False	False	False	estimable
六君子汤	37308030	2023-06-10	2023	2023	2024-01-30	False	True	False	estimable
六君子汤	34800646	2021-11-17	2021	2021	2022-03-01	False	True	False	estimable
六君子汤	24761646	2014-01	2014	2014	2014-01	False	False	False	estimable
六君子汤	34630778	2021-09-29	2021	2021	2021	False	False	False	estimable
六君子汤	35963194	2022-08-06	2022	2022	2022-10	False	False	False	estimable
六君子汤	40461233	2025-04	2025	2025	2025-04	False	False	False	estimable
六君子汤	39534925	2024-11-13	2024	2024	2026-04	False	True	False	estimable
六君子汤	33645139	2021-01	2021	2021	2021-01	False	False	False	estimable
六君子汤	39002822	2024-07-14	2024	2024	2024-11-15	False	False	False	estimable
六君子汤	17650797	2007-05	2007	2007	2007-05	False	False	False	estimable
六君子汤	11783231	1999-08	1999	1999	1999-08	False	False	False	estimable
六味地黄丸	37416191	2023-06-28	2023	2023	2023	False	False	False	estimable
六味地黄丸	37861542	2023-10-20	2023	2023	2023-10-20	False	False	False	estimable
六味地黄丸	38350506	2024-02-11	2024	2024	2024-05-10	False	False	False	estimable
六味地黄丸	33588742	2022	2022	2022	2022	False	False	False	estimable
六味地黄丸	35341010	2022-03-15	2022	2022	2022	False	False	False	estimable
六味地黄丸	40457356	2025-06-02	2025	2025	2025-06-02	False	False	False	estimable
六味地黄丸	36624462	2023-01-09	2023	2023	2023-01-09	False	False	False	estimable
六味地黄丸	40388786	2025-05-16	2025	2025	2025-05-16	False	False	False	estimable
六味地黄丸	36451445	2022-11-25	2022	2022	2022-11-25	False	False	False	estimable
六味地黄丸	36401375	2022-11-18	2022	2022	2022-11-18	False	False	False	estimable
六味地黄丸	31610261	2019-10-11	2019	2019	2020-01-30	False	True	False	estimable
六味地黄丸	39470545	2024-10-25	2024	2024	2024-10-25	False	False	False	estimable
六味地黄丸	28694663	2017-06-21	2017	2017	2017-06-21	False	False	False	estimable
六味地黄丸	35898725	2022-07-21	2022	2022	2022	False	False	False	estimable
