formula	pchembl_threshold	eligible_compounds	eligible_targets	candidate_count	compound_coverage	top10_jaccard_vs_primary	top20_jaccard_vs_primary	spearman_common	top10_replacements_vs_primary	median_shared_rank_displacement
四君子汤	4.0	5	27	70	0.384615	1.0	1.0	1.0	0	0.0
四君子汤	4.5	5	23	66	0.384615	1.0	1.0	0.998642	0	4.0
四君子汤	5.0	5	20	63	0.384615	1.0	1.0	0.99574	0	7
四君子汤	5.5	5	16	59	0.384615	0.818182	0.666667	0.99042	1	11
四君子汤	6.0	4	12	55	0.307692	0.666667	0.428571	0.982084	2	15
六君子汤	4.0	8	33	52	0.5	0.818182	0.904762	0.986938	1	0.0
六君子汤	4.5	8	27	46	0.5	0.818182	0.904762	0.979485	1	1.0
六君子汤	5.0	7	22	41	0.4375	1.0	1.0	0.986391	0	0
六君子汤	5.5	6	17	37	0.375	0.538462	0.818182	0.954707	3	15
六君子汤	6.0	5	13	33	0.3125	0.428571	0.538462	0.947755	4	19
四物汤	4.0	2	14	65	0.25	1.0	1.0	1.0	0	0
四物汤	4.5	1	13	64	0.125	1.0	0.904762	0.999882	0	1.0
四物汤	5.0	1	9	60	0.125	0.818182	0.6	0.997113	1	5.0
四物汤	5.5	1	3	54	0.125	0.176471	0.290323	0.990417	7	11.0
四物汤	6.0	1	1	52	0.125	0.052632	0.212121	0.993747	9	13.0
八珍汤	4.0	7	41	45	0.333333	1.0	1.0	1.0	0	0
八珍汤	4.5	6	36	40	0.285714	1.0	1.0	0.994637	0	0.0
八珍汤	5.0	6	29	33	0.285714	1.0	1.0	0.964157	0	0
八珍汤	5.5	6	19	23	0.285714	0.818182	0.904762	0.896308	1	1
八珍汤	6.0	5	13	17	0.238095	0.666667	0.541667	0.873372	2	2
六味地黄丸	4.0	4	3	47	0.363636	1.0	1.0	1.0	0	0
六味地黄丸	4.5	4	2	46	0.363636	0.818182	0.904762	0.999898	1	1.0
六味地黄丸	5.0	4	2	46	0.363636	0.818182	0.904762	0.999898	1	1.0
六味地黄丸	5.5	0	0	45	0.0	0.666667	0.818182	0.999762	2	2
六味地黄丸	6.0	0	0	45	0.0	0.666667	0.818182	0.999762	2	2
逍遥散	4.0	9	47	98	0.409091	0.666667	0.818182	0.990717	2	0.0
逍遥散	4.5	9	42	93	0.409091	0.666667	0.818182	0.989006	2	5
逍遥散	5.0	7	30	82	0.318182	1.0	1.0	0.990412	0	16.0
逍遥散	5.5	7	20	72	0.318182	0.818182	0.904762	0.973985	1	26.0
逍遥散	6.0	5	13	68	0.227273	0.428571	0.666667	0.953573	4	30.0
补中益气汤	4.0	11	46	53	0.44	0.818182	0.904762	0.97581	1	0
补中益气汤	4.5	10	39	46	0.4	0.818182	0.904762	0.958506	1	1.0
补中益气汤	5.0	9	31	38	0.36	1.0	1.0	0.960513	0	0.0
补中益气汤	5.5	8	21	28	0.32	0.666667	0.818182	0.930207	2	2.0
补中益气汤	6.0	7	15	23	0.28	0.428571	0.666667	0.870082	4	4
桂枝汤	4.0	9	43	86	0.642857	1.0	1.0	1.0	0	0.0
桂枝汤	4.5	9	35	78	0.642857	1.0	1.0	0.996982	0	8.0
桂枝汤	5.0	8	27	70	0.571429	1.0	1.0	0.98799	0	16.0
桂枝汤	5.5	6	20	64	0.428571	0.666667	0.818182	0.970987	2	22.0
桂枝汤	6.0	5	13	58	0.357143	0.428571	0.6	0.950119	4	28.0
麻黄汤	4.0	7	30	45	0.636364	1.0	1.0	1.0	0	0
麻黄汤	4.5	7	25	40	0.636364	1.0	1.0	0.995319	0	0.0
麻黄汤	5.0	7	22	37	0.636364	1.0	1.0	0.989327	0	0
麻黄汤	5.5	5	16	32	0.454545	0.666667	0.73913	0.950279	2	7.5
麻黄汤	6.0	4	12	29	0.363636	0.428571	0.538462	0.916611	4	16
小柴胡汤	4.0	10	64	111	0.555556	0.818182	0.73913	0.986486	1	0
小柴胡汤	4.5	10	54	102	0.555556	1.0	0.818182	0.988308	0	2.0
小柴胡汤	5.0	10	40	88	0.555556	1.0	1.0	0.98689	0	23.0
小柴胡汤	5.5	9	31	79	0.5	1.0	0.73913	0.978988	0	32
小柴胡汤	6.0	7	17	66	0.388889	0.428571	0.538462	0.944674	4	45.0
理中丸	4.0	7	39	41	0.5	0.818182	0.904762	0.966899	1	0
理中丸	4.5	7	32	34	0.5	0.818182	0.904762	0.936074	1	1.0
理中丸	5.0	7	26	28	0.5	1.0	1.0	0.954347	0	0.0
理中丸	5.5	7	18	20	0.5	0.428571	0.666667	0.911728	4	4.0
理中丸	6.0	5	13	15	0.357143	0.25	0.590909	0.858092	6	6
四逆汤	4.0	7	39	67	0.538462	0.818182	0.818182	0.98292	1	0
四逆汤	4.5	7	32	61	0.538462	1.0	0.904762	0.98926	0	1
四逆汤	5.0	7	26	55	0.538462	1.0	1.0	0.990018	0	12
四逆汤	5.5	7	18	47	0.538462	0.428571	0.666667	0.981264	4	20
四逆汤	6.0	5	13	44	0.384615	0.111111	0.538462	0.948761	8	23.0
二陈汤	4.0	8	33	49	0.727273	0.818182	0.904762	0.984388	1	0
二陈汤	4.5	8	27	43	0.727273	0.818182	0.904762	0.975129	1	1
二陈汤	5.0	7	22	38	0.636364	1.0	1.0	0.984157	0	0.0
二陈汤	5.5	6	17	33	0.545455	0.666667	0.73913	0.977945	2	2
二陈汤	6.0	5	13	30	0.454545	0.428571	0.538462	0.940736	4	19.0
黄连解毒汤	4.0	6	43	80	0.461538	0.538462	0.73913	0.978317	3	0.0
黄连解毒汤	4.5	6	35	74	0.461538	0.818182	0.904762	0.988296	1	6.0
黄连解毒汤	5.0	5	25	64	0.384615	1.0	1.0	0.987107	0	16.0
黄连解毒汤	5.5	5	17	56	0.384615	0.818182	0.73913	0.972591	1	24.0
黄连解毒汤	6.0	4	8	47	0.307692	0.538462	0.25	0.936149	3	33
