formula	comparison	top10_intersection	top10_replacements	top10_jaccard	promoted_into_gated	demoted_from_gated
四君子汤	evidence_gated_vs_ungated_union	10	0	1.0	0	0
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	8	2	0.666667	2	2
六君子汤	evidence_gated_vs_ungated_union	9	1	0.818182	1	1
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	6	4	0.428571	4	4
四物汤	evidence_gated_vs_ungated_union	10	0	1.0	0	0
四物汤	evidence_gated_vs_cutoff_chembl_measured_only	10	0	1.0	0	0
八珍汤	evidence_gated_vs_ungated_union	10	0	1.0	0	0
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	8	2	0.666667	2	2
六味地黄丸	evidence_gated_vs_ungated_union	9	1	0.818182	1	1
六味地黄丸	evidence_gated_vs_cutoff_chembl_measured_only	3	7	0.3	7	0
逍遥散	evidence_gated_vs_ungated_union	9	1	0.818182	1	1
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	6	4	0.428571	4	4
补中益气汤	evidence_gated_vs_ungated_union	7	3	0.538462	3	3
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	5	5	0.333333	5	5
桂枝汤	evidence_gated_vs_ungated_union	8	2	0.666667	2	2
桂枝汤	evidence_gated_vs_cutoff_chembl_measured_only	5	5	0.333333	5	5
麻黄汤	evidence_gated_vs_ungated_union	9	1	0.818182	1	1
麻黄汤	evidence_gated_vs_cutoff_chembl_measured_only	6	4	0.428571	4	4
小柴胡汤	evidence_gated_vs_ungated_union	6	4	0.428571	4	4
小柴胡汤	evidence_gated_vs_cutoff_chembl_measured_only	4	6	0.25	6	6
理中丸	evidence_gated_vs_ungated_union	7	3	0.538462	3	3
理中丸	evidence_gated_vs_cutoff_chembl_measured_only	4	6	0.25	6	6
四逆汤	evidence_gated_vs_ungated_union	4	6	0.25	6	6
四逆汤	evidence_gated_vs_cutoff_chembl_measured_only	1	9	0.052632	9	9
二陈汤	evidence_gated_vs_ungated_union	9	1	0.818182	1	1
二陈汤	evidence_gated_vs_cutoff_chembl_measured_only	6	4	0.428571	4	4
黄连解毒汤	evidence_gated_vs_ungated_union	9	1	0.818182	1	1
黄连解毒汤	evidence_gated_vs_cutoff_chembl_measured_only	7	3	0.538462	3	3
